PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
UszAN,8/7R/q6r/p3P2Q/2p2pPk/5P1p/PP2K2P/8 b - - 7 45,h6h5 h7h5,675,79,100,592,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/GI3kUhK6/black#90,
4Lq31,8/5p2/2bk1p1p/8/2K1PP2/p1P5/2B4P/8 w - - 0 42,c4b3 c6a4 b3a3 a4c2,1597,76,94,6441,bishopEndgame crushing deflection endgame master short skewer,https://lichess.org/NsFzQZmQ#83,
9UCAo,2kr3r/pppq1p2/1b1p4/3PnN2/1P2Pnp1/PQ5P/1B4P1/RN3R1K w - - 0 21,h3h4 d7f5 e4f5 h8h4,1717,75,88,82,capturingDefender crushing kingsideAttack middlegame sacrifice short,https://lichess.org/SArFaTYv#41,
yGroT,1r4k1/6p1/2R5/4P1p1/6P1/r6P/4BP1K/8 b - - 0 33,a3a2 e2c4 g8h7 c4a2,944,84,86,114,crushing endgame fork short,https://lichess.org/xLlzuoqL/black#66,
dnTsd,8/pQ5k/3p1rp1/1P5p/4Pp2/P4q2/2KR3P/8 b - - 3 37,h7h6 b7e7 f3a3 e7f6,1890,74,89,153,advantage endgame short trappedPiece,https://lichess.org/mdLdnYld/black#74,
LEWWi,r2qn3/1pp2Q2/p2p3p/n1kP2p1/P7/2P2PB1/2B3PP/6K1 b - - 0 26,d8f6 g3f2 c5c4 f7h7,1969,79,80,163,advantage middlegame short,https://lichess.org/ifRlEj3D/black#52,
B1XlK,r2qnrk1/pp2b1pp/2npp3/2p1p3/4P3/P1NPBN1P/1PPQ1PP1/3R1RK1 w - - 2 13,f3h2 d6d5 e4d5 e6d5,1811,75,87,62,advantage middlegame short,https://lichess.org/3cG96xX3#25,Italian_Game Italian_Game_Other_variations
kyFCV,rn1q1b1r/ppp1n1p1/3pbk1p/4N2Q/4P2P/2N5/PP3PP1/R1B1K2R b KQ - 0 10,d6e5 c1g5 h6g5 h4g5,2031,76,98,1724,mate mateIn2 opening sacrifice short,https://lichess.org/B1z8s1wg/black#20,Danish_Gambit_Accepted Danish_Gambit_Accepted_Other_variations
eeRqB,7k/3n1Qp1/p3p1P1/3pP2p/1PpP2q1/P7/7K/8 b - - 11 50,c4c3 f7e8 d7f8 e8f8,1068,75,89,101,endgame fork mate mateIn2 short,https://lichess.org/QwEWfIv9/black#100,
Vr03c,5rk1/1ppqRp2/p2p1Q2/3P4/6r1/P7/1P3PP1/R5K1 b - - 2 26,g4g6 f6g6 f7g6 e7d7,1411,75,93,2827,crushing endgame short,https://lichess.org/YoKD7cd5/black#52,
7UbIB,5rk1/6pp/p3pq1b/3p4/1PpP4/2n1P2B/2Q3PP/4RNK1 w - - 0 26,c2c3 f6f2 g1h1 f2f1 e1f1 f8f1,1299,80,92,581,backRankMate deflection long mate mateIn3 middlegame,https://lichess.org/vo3K83vp#51,
p2cIf,5r1k/6p1/7p/6q1/8/3Q1pPP/5P2/4R1K1 b - - 0 41,f8f6 e1e8 f6f8 e8f8,1251,76,89,193,endgame mate mateIn2 short,https://lichess.org/9lVQy58o/black#82,
m2tFs,3kr3/5R2/5p2/2PB1Pp1/6P1/2n1B1Q1/P3KP2/q7 w - - 1 39,e2f3 a1h1 g3g2 h1d1 f3g3 c3e2,2650,82,92,1881,crushing fork long middlegame,https://lichess.org/bQmSNddl#77,
7fMTf,r4r1k/6pp/pp1pBqn1/2pP4/2P1n3/4R2Q/PP4PP/R3B1K1 w - - 7 27,e3e4 f6f1,1144,77,85,60,mate mateIn1 middlegame oneMove,https://lichess.org/u9kLxO7a#53,
rz0dY,8/1p3k2/1pp2pp1/1P1p1Pp1/P2P2P1/5K2/8/8 b - - 0 40,c6c5 f5g6 f7g6 d4c5,2580,85,84,152,crushing endgame pawnEndgame short,https://lichess.org/LMNhKhL4/black#80,
MAiWU,8/8/N1P2p2/1p3Kp1/8/8/P5kb/8 b - - 0 38,g2h3 c6c7 h2c7 a6c7,1069,81,94,259,advancedPawn crushing endgame master short,https://lichess.org/dPE3MIcV/black#76,
hLYav,4q2k/1pp4p/p1n3pb/P4p2/1P1P1Bn1/1QP2N1P/3N2P1/6K1 w - - 1 27,h3g4 h6f4 g4f5 f4d2 f3d2 e8e3,2227,78,84,152,crushing hangingPiece kingsideAttack long middlegame,https://lichess.org/5lhtDRwR#53,
UydNE,r4rk1/1b2qppp/pp1bp3/2p1N3/3Pp3/4P1B1/PPP1QPPP/3R1RK1 b - - 1 19,f7f5 d4c5 d6e5 g3e5,1802,77,90,395,crushing middlegame short,https://lichess.org/hjl5I9Cv/black#38,Rapport-Jobava_System Rapport-Jobava_System_Other_variations
PlOky,8/1p2rk2/p6p/3pB3/1P1P4/2nK3P/P5B1/8 b - - 5 44,c3a2 g2d5 f7e8 d5a2,916,76,86,387,advantage endgame fork short,https://lichess.org/whRzMCYj/black#88,
4CN46,6k1/p2r1p2/1pq3pp/4Q3/5R1P/6P1/P4P1K/8 b - - 4 36,a7a5 e5e8 g8g7 f4f7 d7f7 e8c6,1465,75,99,1409,advantage endgame long,https://lichess.org/cCEUcdp5/black#72,
vjPOO,8/1p6/p2PQ2p/P5k1/3K1p2/5q2/8/8 b - - 4 50,f3e3 e6e3 f4e3 d6d7 e3e2 d7d8q,1994,74,85,132,endgame,https://lichess.org/1gINcCU5/black#100,
yKro6,8/8/1P2k3/1r2p3/2Rn1P1p/P2P3P/7K/8 w - - 1 37,f4e5 b5b2 h2g1 d4f3 g1f1 f3d2 f1f2 d2c4,1736,123,86,31,crushing discoveredAttack discoveredCheck endgame fork master veryLong,https://lichess.org/BT7h6SaV#73,
rxEIq,r2q1rk1/p4pbp/Q2p2p1/2pP2B1/8/Pp3NP1/1P2PPBP/1b3RK1 b - - 1 17,g7f6 g5f6 d8f6 f1b1,1252,81,92,3599,crushing master middlegame short,https://lichess.org/cCEjtizA/black#34,Benoni_Defense Benoni_Defense_Fianchetto_Variation
6mqyO,1r6/P7/5kpp/3p1p2/3Pp3/4P2P/5PP1/Qr4K1 w - - 1 33,a1b1 b8b1 g1h2 b1a1,1407,81,83,38,crushing endgame hangingPiece short,https://lichess.org/wHWuS3Zl#65,
zeY6N,4r2k/2R3b1/p2p3p/P1pP2p1/2P4q/2BQ1P2/5KP1/8 w - - 5 32,f2g1 e8e1 c3e1 h4e1 g1h2 e1h4,2506,79,92,2062,crushing endgame long master sacrifice,https://lichess.org/kTZ0q5o7#63,
hbTzw,7k/1p4rq/p1b5/3pQ3/PP1PpP2/7P/5PP1/R5K1 b - - 0 33,h7h3 e5g7 h8g7 g2h3,1553,75,96,26894,crushing endgame short,https://lichess.org/gWGRqqJ9/black#66,
sjjjY,r4rk1/ppp2ppp/8/8/3NPPnq/P1Pb3P/1BQ3P1/R3R1K1 w - - 1 21,c2d3 h4f2 g1h1 f2e1 a1e1 g4f2 h1h2 f2d3,1853,77,93,1350,advantage fork middlegame sacrifice veryLong,https://lichess.org/raHtQFNx#41,
jhwWZ,1r3r1k/4QB1p/2bp3P/8/1p2pq2/5P2/1PP5/1K1R3R w - - 1 29,d1d6 f8f7 d6d8 b8d8 e7d8 f7f8,1705,77,87,534,crushing long middlegame,https://lichess.org/35eUzwBT#57,
v1k35,4r1k1/r4pb1/1q1p4/2pP1pPQ/2B5/1P5P/3B2P1/5R1K b - - 2 30,a7a1 f1a1 g7a1 g5g6,1370,76,92,2638,crushing master middlegame short,https://lichess.org/o7eNKQSm/black#60,
pKqnw,6k1/5p2/p6p/6p1/1nRB2P1/5r2/8/6K1 b - - 0 33,b4d3 c4c8 g8h7 c8h8 h7g6 h8g8,853,82,88,153,crushing endgame long,https://lichess.org/K0oWql2O/black#66,
gCmNd,8/8/4ppBp/3p3P/3P1Pb1/2k1K1P1/8/8 b - - 1 56,e6e5 f4e5 f6e5 d4e5 d5d4 e3f4,1839,76,97,2126,advantage bishopEndgame endgame long,https://lichess.org/BeOS2swd/black#112,
5Y6CU,R4bk1/5p1p/4p1p1/2rpPn2/5P2/6P1/4Q2P/7K w - - 0 34,g3g4 c5c1 h1g2 c1c2 e2c2 f5e3 g2f2 e3c2,1873,81,93,1179,advantage attraction endgame fork pin sacrifice veryLong,https://lichess.org/s7wjYUDs#67,
DT8EG,r2qrk1Q/1b4p1/p1pbp1B1/3np3/3P4/6B1/PP3PPP/R4RK1 b - - 5 21,f8e7 h8g7,1194,75,100,883,epauletteMate mate mateIn1 middlegame oneMove,https://lichess.org/sPjhsJBa/black#42,
j1X8H,2kr2r1/1p5p/3q4/3pn3/5p2/3P1Q2/PPP2PPP/RN3RK1 w - - 2 19,f3f4 d8f8 f4e3 e5f3 e3f3 f8f3,2201,102,87,27,crushing long middlegame pin,https://lichess.org/iSbpa0BI#37,
gVKAT,5r2/2p2rp1/3ppnkp/1p2p3/p3P1PP/P1PPK3/1P1N1P1R/6R1 b - - 2 28,g6h7 g4g5 g7g6 g5f6,845,87,88,334,crushing endgame short,https://lichess.org/asWhtNvG/black#56,
cekZu,4k3/R3B3/5p2/6p1/3PP3/P3KP2/2r3r1/8 w - - 2 43,e7f6 c2c3,1447,80,89,1319,endgame mate mateIn1 oneMove,https://lichess.org/vfpGrs4p#85,
YxD5g,r5r1/pp1bk2p/2p1np2/4p2B/4N3/2PR3P/PP3P2/2KR4 b - - 8 23,a8d8 d3d7 d8d7 d1d7 e7d7 e4f6 d7d6 f6g8,1642,75,88,197,advantage attraction fork middlegame veryLong,https://lichess.org/doMTTkEZ/black#46,
